"","id","data_review_id","full_review","rating_value","review_date","reviewer_name","reviewer_url","short_review","titleId"
"3",2,"rw1189411","A film like this just couldn\'t be made in America, where action must occur at a slam-bang pace, and children must be either pitifully ignorant of life or else caricatures of evil. Here, there is exquisite attention to detail -- a countryside, a vase of flowers, and long periods with no dialog at all where a mood is simply allowed to develop. The passage of time may not be in equivalent ""real time,"" yet it passes noticeably. And what a skilled performance by Gleb Puskepalis, a boy with, as often seems to be the case, a distinguished acting history in legitimate theater. His character is master of his fate and of the plot, and he himself is master of the camera and the cast. I like this film especially because it is the boy who is rational, determined and self-directed, while the adults, as in reality, are continually made fools by their alcohol, aggression, and just wanting ""to f*** each other"" all the time. Bravo!",10,"8 October 2005","shneur","/user/ur4956076/","This is NOT Disney (thank God).","tt0372366"
"7",6,"rw0928658","Good cinematography will only take you so far.  However, amazing cinematography will carry your film by itself.  And that\'s just the start...Acting is well above average, and the writing, although somewhat resembling the ""Russian soul"" in its mystique and lack of structure, nevertheless fulfills its duty: to get to the hearts of those who for some unknown reason would not find themselves enchanted by the visuals alone...",8,"10 January 2004","LE020","/user/ur1703172/","Welcome back, Russian cinema.","tt0372366"
"14",9,"rw1696883","This film is slow, but slow like Herzog: each scene is visually fascinating and punctuated by a sense of dread that leads to real narrative suspense. I could not keep my eyes off the screen. The sense of reality in the rural Russian small towns is matched by a fresh magic realism that seems plausible while at the same time, as it should be, magical. Figures appear as if from fairy tales: a good witch, an ogre who turns out to be a benevolent troll. The film also captures the perspective of a child who insists on promises kept regardless of their impossibility and who takes refuge in self-created ritual. I will watch this many times.",10,"19 July 2007","elizgg","/user/ur16110441/","Very fine film, visually and emotionally powerful","tt0372366"
"17",11,"rw0928657","Koktebel\' is the film that could impress those who love Russia, Russians and who wants to know more about that country. It could help to understand ""mysterious Russian soul"". But it is sometimes too slow and detailed. It got the Silver Georgy on the 25th Moscow International Film festival.",9,"30 July 2003","aania@mail.ru","/user/ur1338962/","for those who love Russia","tt0372366"
"25",18,"rw0046571","At a time when many cineasts are beginning to respond to the beauties of Powell and Pressburger\'s ""Gone to Earth"", Wyler\'s ""Carrie"", that other most underrated masterpiece, continues to attract too little appreciative attention. It is not difficult to see why insofar that its depressing subject material is incompatible with audience expectations of its genre, Hollywood studio romanticism. It has a hero who slides into despair and degradation whilst the heroine succeeds in her chosen profession as an aspiring actress. Women who take their handkerchiefs to the cinema have always seemed indifferent to the film: indeed the only admirers I have personally found have been male, possibly identifying with the debonaire restaurateur, Hurstwood (magnificently played by Laurence Olivier), sowing the seeds of his downfall through human weakness which destroys everything except his innate dignity. Had the film been set in its own period (mid 20th century) and directed by, say, a De Sica or Kurosawa, we might still be talking about it. Instead it is set shortly after the beginning of the century, a transitional period when the romantic past was rapidly being overcome by the grainy realism of a new mechanised age. However, far from being weakened by the genre conventions of a highly romantic approach,the superbly crafted direction by William Wyler, photography perfectly composed by Victor Milner and a wonderfully lyrical score by David Raksin are elements that serve to enhance the material. They never sentimentalise it, somehow proving that when as here the Hollywood romantic cinema was given a really mature theme and text, it could, in the hands of some of its greatest craftsmen, be responsible for producing a work of the highest cinematic art.",10,"15 February 2002","jandesimpson","/user/ur1555753/","The Hollywood studio system at its finest","tt0044486"
"36",27,"rw1857181","Jennifer Jones is rather tepid playing Carrie Meeber, a small town girl who becomes involved in her first romance with a classy restaurateur from the big city. Laurence Olivier\'s performance as Carrie\'s lover is sly and seductive, but there isn\'t any real chemistry between he and Jones, and Olivier could just as well be acting to a mirror (he\'s very good, very charismatic, and yet highly enamored of his own presence). Director William Wyler stages some dandy melodrama, but one still aches for much more than hand-wringing in a film with talents this big. The final sequence (set underneath a stairwell) is amazing both visually and emotionally, but too much of this story is balky or routine. None of the supporting players in the cast are allowed to outshine Larry Olivier; the picture may be called ""Carrie"", but all eyes are on the acting prince. ** from ****",5,"13 April 2008","moonspinner55","/user/ur0989035/","Collaboration for some wonderful talents is surprisingly mild...","tt0044486"
"47",34,"rw2356332","End of Animal is a post-apocalyptic movie like few others. A pregnant woman is in a cab going through a rural landscape to get to her mother\'s house to deliver her baby. On the way, a blinding white light leaves her (and everyone else) unconscious, and also disables everything electronic. Unfortunately, like the movie\'s lead character, the director just wanders lost around this setting not knowing where to go with it. Random references to religion and humanity aside, the movie neither offers an explanation for the cause of the event, nor uses the setting in any meaningful way. Scenes just seem to randomly unfold without merit. Showing God (or was it Satan?) in a baseball cap may be an acceptable artistic decision, but him having to physically carry a bicycle out of the way to drive by in a car seems just too limiting for someone who brought about the ""End"".",2,"20 December 2010","shariqqq","/user/ur0290438/","Underwhelming","tt1794784"
"51",38,"rw3489030","This movie is the most awful titanic film. This movie falls short on all elements that make a movie excellent. Besides being full of Clichés like the typical ""I don\'t want to marry him"" and ""magical thing saves the day"" and ""good vs evil"" , this movie can\'t even decide what it wants to be. We have mice, people, an octopus, whales, and dolphins mixed in a movie that has no focus. WHO CARES!?! They butchered a tragic story into a disgustingly simple ""good vs. evil"" play meant to inform people to stop hunting whales. By God, if you want to inform people about whales, do it somewhere else please. This movie also, deliberately, shamelessly, insults the people who died on that boat. It says everyone survived and were saved by whales. More of that dumb whale flashing again. It also doesn\'t have educational value, since it claims a gang of sharks told a giant octopus to throw an iceberg in front of the boat, and the boat sank. So I recommend not watching this, it\'s in the bottom 100, and Damn, THE RATING IS 1.6 STARS!",1,"16 June 2016","carrotyamed","/user/ur67631156/","People are dumb enough to fall for this","tt1623780"
"70",48,"rw5696169","The movie was just trash. It\'s one thing to do a disaster movie, I\'d be ok with that, but PLEASE leave Titanic out of the name title!!! It\'s insulting to write a movie like this that actually insults the history of the ship. If they called this movie, ""the SS Panther"" I wouldn\'t mind since it doesn\'t insult the people who died on the real Titanic.\nThat\'s ultimately my issue with the movie is how no one dies on this ship and we are instead left with a ""save the whales"" campaign story that makes the viewers who knows their history want to punch the filmmakers.",1,"1 May 2020","mwcanadian","/user/ur41165499/","Good animation, but ""save the whales?""","tt1623780"
"72",49,"rw3071503","This movie is just a disaster as the producers went way overboard with its outlandish story! The Legend of the Titanic is an Italian animated film directed by Orlando Corradi and Kim J. OK. The film is a very loose adaptation of the RMS Titanic sinking and told through several anthropomorphic animals. The movie starts out with old sailor-mouse named Top Connors (Voiced by Sean Patrick Lovett) telling his grandchildren the supposedly ""true"" story of the RMS Titanic. The movie then flashback to 1912, with a young Connors help a rich aristocratic human female named Elizabeth Camden (Voiced by Jane Alexander) overcome her arranged marriage to over the top evil whaler tycoon, Evarard Maltraver (Voiced by Gregory Snegoff). Instead, she falls in love with a poor gypsy named Don Juan (Voiced by Francis Pardeilhan). The Titanic then sets off to sea, only to lead to destruction events. If this plot shows familiar, it\'s a total rip-off of James Cameron 1997\'s Titanic. The plot gets worst, as the movie pretty offensive everybody, by claiming that nobody really died when Titanic sank because a giant dog-faced Octopus save everybody from the evil plot set up by whalers and talking sharks. This movie is an insult to all the victims that died that day by having little real life historical characters like Molly Brown, John Jacob Astor, and Thomas Andrews. It\'s an insult for history buffs and education when the movie lies out of its teeth with the ship having plenty of lifeboat with its historical contradictions. It\'s disgusting to watch a movie turn a tragic event like the Titanic sinking into a ploy to \'Save the Whale\' anti-whaling propaganda. The whole \'Saving the Whale\' exposition get so annoying by the end, because of how much, they mention it in the end. Due to the large amount of whale exposition, the film doesn\'t have any room to explain any other things in the film. First off, the love story. The two leads, fall in love with little to no story. I really don\'t get this Don Juan. How can he be a poor prince? Also, is Don Juan, the name of the legendary, fictional libertine womanizer? How on the world, is Elizabeth going to even have a stable relationship with him. The dude looks and acts like a stalker, like sniffing gloves. His dog is just as sick. The dog looks like about to cum, every time, somebody pet the dog. It\'s so creepy. I like how Elizabeth\'s father forced her to marry the whaler in the beginning, only later, throughout the film, change his mind for some odd reason about her, not marrying him. The whole villain plot to destroy the Titanic, to leave no witnesses to the whaling rights is just over the top. Tricking a dumb down giant Octopus for an iceberg throwing contest is one of the worst ideas, I have ever heard. Another lame lack of explaining, is the talking animals. The mice have little to no depth to them, only to be fed as supporting stock characters that seems to exist only to provide help to the main characters for some odd reason. Why would the mice help save the whales? It makes no sense. If they\'re not doing that, throughout most of the movie, they talk about boring ship protocol. The movie pace really slow down, when they talk endlessness about what to do, and what not to do on the ship. The movie even has the nerve to bring up racism when a mice is fantasizing about falling in love with a human female. It\'s not racism. It\'s just a weird bestiality fetish. It must had been some mistranslated from Italian, the films\' original language. They try some lame excuse like moonbeams, about why the human can hear the animals, but it doesn\'t make sense, since the main character, Elizabeth got the power from crying during a moonlight. Honestly, how on Earth is the bad guys talking to the sharks? Did they cry during the moonlight, too, because I didn\'t see that? How on earth is everybody on the ship able to talk to every animal? Did they all cry at the moonlight? It\'s so badly written. Don\'t get me with the talking dolphins that jump very high out of the water and seem to levitate! What was the writers smoking? While, the writing sucks. The animation isn\'t half-bad from the Italians. Still, it looks like they were trying really hard to make this movie into anime or something. It was flat and uninspired hand-drawn images as human characters look crossed eyed, and animals look ugly looking. While, computer animation was still in it infantile. In 1999, the computer animation should had gotten better. The limited computer animation used by this movie were pretty bad. Just look at the Brooklyn Bridge toward the end for an example. The English dubbing is terrible. Voice work is flimsy and oftentimes a vocal will be heard when an animated character\'s mouth is clearly wide open. They\'re talking, but mouth isn\'t moving in some scenes. Overall: This is worse than the 2001 animated Titanic film with a similar name. The Legend of the Titanic was followed by a 2004 sequel titled Tentacolino which is just awful. These movies successfully bludgeon the intelligence of children and adults alike, with insultingly stupidity. The only reason to watch it, is how laughably bad, it is. Even with that, it\'s still painful to watch.",1,"19 August 2014","ironhorse_iv","/user/ur34049683/","This movie sunk a new low with its floating BS!!","tt1623780"
